"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"The Bridge Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",85.3
"The Bridge Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",8
"The Bridge Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2.9
"The Bridge Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",47
"The Bridge Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",16.8
"The Bridge Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",279
"The Bridge Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",237
"The Bridge Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",84.3
"The Bridge Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",7
"The Bridge Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",2.5
"The Bridge Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",43
"The Bridge Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",15.3
"The Bridge Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",281
"The Bridge Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",223
"The Bridge Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",79.9
"The Bridge Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",8
"The Bridge Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",2.9
"The Bridge Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",55
"The Bridge Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",19.7
"The Bridge Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",279
"The Gilbert School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",229
"The Gilbert School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",42.3
"The Gilbert School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",14
"The Gilbert School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2.6
"The Gilbert School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",67
"The Gilbert School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",12.4
"The Gilbert School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",542
"The Gilbert School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",218
"The Gilbert School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",43.2
"The Gilbert School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",17
"The Gilbert School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",3.4
"The Gilbert School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",79
"The Gilbert School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",15.6
"The Gilbert School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",505
"The Gilbert School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",240
"The Gilbert School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",44.7
"The Gilbert School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",22
"The Gilbert School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",4.1
"The Gilbert School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",80
"The Gilbert School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",14.9
"The Gilbert School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",537
"The Gilbert School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",259
"The Gilbert School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",46.9
"The Gilbert School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",19
"The Gilbert School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3.4
"The Gilbert School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",89
"The Gilbert School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",16.1
"The Gilbert School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",552
"The Gilbert School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",248
"The Gilbert School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",44.8
"The Gilbert School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",14
"The Gilbert School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2.5
"The Gilbert School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",89
"The Gilbert School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",16.1
"The Gilbert School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",553
"The Gilbert School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",217
"The Gilbert School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",38.6
"The Gilbert School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",14
"The Gilbert School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",2.5
"The Gilbert School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",89
"The Gilbert School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",15.8
"The Gilbert School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",562
"The Gilbert School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",212
"The Gilbert School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",37.8
"The Gilbert School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",13
"The Gilbert School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",2.3
"The Gilbert School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",85
"The Gilbert School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",15.2
"The Gilbert School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",561
"Thomaston School District",900575730,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",235
"Thomaston School District",900575730,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",22.1
"Thomaston School District",900575730,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999
"Thomaston School District",900575730,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thomaston School District",900575730,"2011-2012","Indicator of Educational Need","Special Education","Number",139
"Thomaston School District",900575730,"2011-2012","Indicator of Educational Need","Special Education","Percent",13.1
"Thomaston School District",900575730,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",1064
"Thomaston School District",900575730,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",208
"Thomaston School District",900575730,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.5
"Thomaston School District",900575730,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999
"Thomaston School District",900575730,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thomaston School District",900575730,"2012-2013","Indicator of Educational Need","Special Education","Number",141
"Thomaston School District",900575730,"2012-2013","Indicator of Educational Need","Special Education","Percent",13.9
"Thomaston School District",900575730,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1017
"Thomaston School District",900575730,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",245
"Thomaston School District",900575730,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",25.8
"Thomaston School District",900575730,"2013-2014","Indicator of Educational Need","English Language Learner","Number",0
"Thomaston School District",900575730,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0
"Thomaston School District",900575730,"2013-2014","Indicator of Educational Need","Special Education","Number",141
"Thomaston School District",900575730,"2013-2014","Indicator of Educational Need","Special Education","Percent",14.8
"Thomaston School District",900575730,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",950
"Thomaston School District",900575730,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",207
"Thomaston School District",900575730,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",22.7
"Thomaston School District",900575730,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999
"Thomaston School District",900575730,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thomaston School District",900575730,"2014-2015","Indicator of Educational Need","Special Education","Number",141
"Thomaston School District",900575730,"2014-2015","Indicator of Educational Need","Special Education","Percent",15.5
"Thomaston School District",900575730,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",912
"Thomaston School District",900575730,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",202
"Thomaston School District",900575730,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",22.4
"Thomaston School District",900575730,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"Thomaston School District",900575730,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thomaston School District",900575730,"2015-2016","Indicator of Educational Need","Special Education","Number",148
"Thomaston School District",900575730,"2015-2016","Indicator of Educational Need","Special Education","Percent",16.4
"Thomaston School District",900575730,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",900
"Thomaston School District",900575730,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",222
"Thomaston School District",900575730,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",24.7
"Thomaston School District",900575730,"2016-2017","Indicator of Educational Need","English Language Learner","Number",13
"Thomaston School District",900575730,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",1.4
"Thomaston School District",900575730,"2016-2017","Indicator of Educational Need","Special Education","Number",146
"Thomaston School District",900575730,"2016-2017","Indicator of Educational Need","Special Education","Percent",16.3
"Thomaston School District",900575730,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",898
"Thomaston School District",900575730,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",188
"Thomaston School District",900575730,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.4
"Thomaston School District",900575730,"2017-2018","Indicator of Educational Need","English Language Learner","Number",13
"Thomaston School District",900575730,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",1.5
"Thomaston School District",900575730,"2017-2018","Indicator of Educational Need","Special Education","Number",141
"Thomaston School District",900575730,"2017-2018","Indicator of Educational Need","Special Education","Percent",16.1
"Thomaston School District",900575730,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",877
"Thompson School District",901575870,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",394
"Thompson School District",901575870,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",32.8
"Thompson School District",901575870,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999
"Thompson School District",901575870,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thompson School District",901575870,"2011-2012","Indicator of Educational Need","Special Education","Number",126
"Thompson School District",901575870,"2011-2012","Indicator of Educational Need","Special Education","Percent",10.5
"Thompson School District",901575870,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",1202
"Thompson School District",901575870,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",394
"Thompson School District",901575870,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",33.8
"Thompson School District",901575870,"2012-2013","Indicator of Educational Need","English Language Learner","Number",0
"Thompson School District",901575870,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0
"Thompson School District",901575870,"2012-2013","Indicator of Educational Need","Special Education","Number",128
"Thompson School District",901575870,"2012-2013","Indicator of Educational Need","Special Education","Percent",11
"Thompson School District",901575870,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1167
"Thompson School District",901575870,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",342
"Thompson School District",901575870,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",31.7
"Thompson School District",901575870,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999
"Thompson School District",901575870,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thompson School District",901575870,"2013-2014","Indicator of Educational Need","Special Education","Number",117
"Thompson School District",901575870,"2013-2014","Indicator of Educational Need","Special Education","Percent",10.8
"Thompson School District",901575870,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",1079
"Thompson School District",901575870,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",350
"Thompson School District",901575870,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",34.4
"Thompson School District",901575870,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999
"Thompson School District",901575870,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thompson School District",901575870,"2014-2015","Indicator of Educational Need","Special Education","Number",121
"Thompson School District",901575870,"2014-2015","Indicator of Educational Need","Special Education","Percent",11.9
"Thompson School District",901575870,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",1016
"Thompson School District",901575870,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",357
"Thompson School District",901575870,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",35.5
"Thompson School District",901575870,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"Thompson School District",901575870,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thompson School District",901575870,"2015-2016","Indicator of Educational Need","Special Education","Number",124
"Thompson School District",901575870,"2015-2016","Indicator of Educational Need","Special Education","Percent",12.3
"Thompson School District",901575870,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1007
"Thompson School District",901575870,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",365
"Thompson School District",901575870,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",35.9
"Thompson School District",901575870,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"Thompson School District",901575870,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thompson School District",901575870,"2016-2017","Indicator of Educational Need","Special Education","Number",139
"Thompson School District",901575870,"2016-2017","Indicator of Educational Need","Special Education","Percent",13.7
"Thompson School District",901575870,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1018
"Thompson School District",901575870,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",389
"Thompson School District",901575870,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",38.1
"Thompson School District",901575870,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999
"Thompson School District",901575870,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999
"Thompson School District",901575870,"2017-2018","Indicator of Educational Need","Special Education","Number",137
"Thompson School District",901575870,"2017-2018","Indicator of Educational Need","Special Education","Percent",13.4
"Thompson School District",901575870,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1020
"Tolland School District",901376290,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",187
"Tolland School District",901376290,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",6.3
"Tolland School District",901376290,"2011-2012","Indicator of Educational Need","English Language Learner","Number",14
"Tolland School District",901376290,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",0.5
"Tolland School District",901376290,"2011-2012","Indicator of Educational Need","Special Education","Number",320
"Tolland School District",901376290,"2011-2012","Indicator of Educational Need","Special Education","Percent",10.8
"Tolland School District",901376290,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",2976
"Tolland School District",901376290,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",158
"Tolland School District",901376290,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",5.5
"Tolland School District",901376290,"2012-2013","Indicator of Educational Need","English Language Learner","Number",21
"Tolland School District",901376290,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0.7
"Tolland School District",901376290,"2012-2013","Indicator of Educational Need","Special Education","Number",320
"Tolland School District",901376290,"2012-2013","Indicator of Educational Need","Special Education","Percent",11.2
"Tolland School District",901376290,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",2857
"Tolland School District",901376290,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",183
"Tolland School District",901376290,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",6.7
"Tolland School District",901376290,"2013-2014","Indicator of Educational Need","English Language Learner","Number",15
"Tolland School District",901376290,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0.5
"Tolland School District",901376290,"2013-2014","Indicator of Educational Need","Special Education","Number",316
"Tolland School District",901376290,"2013-2014","Indicator of Educational Need","Special Education","Percent",11.6
"Tolland School District",901376290,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",2732
"Tolland School District",901376290,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",223
"Tolland School District",901376290,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",8.3
"Tolland School District",901376290,"2014-2015","Indicator of Educational Need","English Language Learner","Number",18
"Tolland School District",901376290,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0.7
"Tolland School District",901376290,"2014-2015","Indicator of Educational Need","Special Education","Number",306
"Tolland School District",901376290,"2014-2015","Indicator of Educational Need","Special Education","Percent",11.4
"Tolland School District",901376290,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",2677
"Tolland School District",901376290,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",226
"Tolland School District",901376290,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",8.7
"Tolland School District",901376290,"2015-2016","Indicator of Educational Need","English Language Learner","Number",15
"Tolland School District",901376290,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",0.6
"Tolland School District",901376290,"2015-2016","Indicator of Educational Need","Special Education","Number",309
"Tolland School District",901376290,"2015-2016","Indicator of Educational Need","Special Education","Percent",11.9
"Tolland School District",901376290,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",2600
"Tolland School District",901376290,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",192
"Tolland School District",901376290,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",7.7
"Tolland School District",901376290,"2016-2017","Indicator of Educational Need","English Language Learner","Number",8
"Tolland School District",901376290,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",0.3
"Tolland School District",901376290,"2016-2017","Indicator of Educational Need","Special Education","Number",306
"Tolland School District",901376290,"2016-2017","Indicator of Educational Need","Special Education","Percent",12.3
"Tolland School District",901376290,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",2484
"Tolland School District",901376290,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",200
"Tolland School District",901376290,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",8.1
"Tolland School District",901376290,"2017-2018","Indicator of Educational Need","English Language Learner","Number",11
"Tolland School District",901376290,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",0.4
"Tolland School District",901376290,"2017-2018","Indicator of Educational Need","Special Education","Number",312
"Tolland School District",901376290,"2017-2018","Indicator of Educational Need","Special Education","Percent",12.6
"Tolland School District",901376290,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",2467
"Torrington School District",900576570,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2057
"Torrington School District",900576570,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",45.1
"Torrington School District",900576570,"2011-2012","Indicator of Educational Need","English Language Learner","Number",326
"Torrington School District",900576570,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",7.1
"Torrington School District",900576570,"2011-2012","Indicator of Educational Need","Special Education","Number",801
"Torrington School District",900576570,"2011-2012","Indicator of Educational Need","Special Education","Percent",17.5
"Torrington School District",900576570,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",4565
"Torrington School District",900576570,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2060
"Torrington School District",900576570,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",46.3
"Torrington School District",900576570,"2012-2013","Indicator of Educational Need","English Language Learner","Number",315
"Torrington School District",900576570,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",7.1
"Torrington School District",900576570,"2012-2013","Indicator of Educational Need","Special Education","Number",752
"Torrington School District",900576570,"2012-2013","Indicator of Educational Need","Special Education","Percent",16.9
"Torrington School District",900576570,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",4446
"Torrington School District",900576570,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2106
"Torrington School District",900576570,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",48.4
"Torrington School District",900576570,"2013-2014","Indicator of Educational Need","English Language Learner","Number",338
"Torrington School District",900576570,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",7.8
"Torrington School District",900576570,"2013-2014","Indicator of Educational Need","Special Education","Number",744
"Torrington School District",900576570,"2013-2014","Indicator of Educational Need","Special Education","Percent",17.1
"Torrington School District",900576570,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",4353
"Torrington School District",900576570,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2162
"Torrington School District",900576570,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",50.2
"Torrington School District",900576570,"2014-2015","Indicator of Educational Need","English Language Learner","Number",365
"Torrington School District",900576570,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",8.5
"Torrington School District",900576570,"2014-2015","Indicator of Educational Need","Special Education","Number",775
"Torrington School District",900576570,"2014-2015","Indicator of Educational Need","Special Education","Percent",18
"Torrington School District",900576570,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",4303
"Torrington School District",900576570,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2215
"Torrington School District",900576570,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",51.9
"Torrington School District",900576570,"2015-2016","Indicator of Educational Need","English Language Learner","Number",367
"Torrington School District",900576570,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",8.6
"Torrington School District",900576570,"2015-2016","Indicator of Educational Need","Special Education","Number",822
"Torrington School District",900576570,"2015-2016","Indicator of Educational Need","Special Education","Percent",19.3
"Torrington School District",900576570,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",4266
"Torrington School District",900576570,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2211
"Torrington School District",900576570,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",52.6
"Torrington School District",900576570,"2016-2017","Indicator of Educational Need","English Language Learner","Number",377
"Torrington School District",900576570,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",9
"Torrington School District",900576570,"2016-2017","Indicator of Educational Need","Special Education","Number",839
"Torrington School District",900576570,"2016-2017","Indicator of Educational Need","Special Education","Percent",20
"Torrington School District",900576570,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",4201
"Torrington School District",900576570,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2207
"Torrington School District",900576570,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",53.7
"Torrington School District",900576570,"2017-2018","Indicator of Educational Need","English Language Learner","Number",389
"Torrington School District",900576570,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",9.5
"Torrington School District",900576570,"2017-2018","Indicator of Educational Need","Special Education","Number",829
"Torrington School District",900576570,"2017-2018","Indicator of Educational Need","Special Education","Percent",20.2
"Torrington School District",900576570,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",4108
"Trailblazers Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",139
"Trailblazers Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",81.8
"Trailblazers Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",0
"Trailblazers Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",0
"Trailblazers Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",38
"Trailblazers Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",22.4
"Trailblazers Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",170
"Trailblazers Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",147
"Trailblazers Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",87.5
"Trailblazers Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",0
"Trailblazers Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0
"Trailblazers Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",48
"Trailblazers Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",28.6
"Trailblazers Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",168
"Trailblazers Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",143
"Trailblazers Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",88.3
"Trailblazers Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",0
"Trailblazers Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0
"Trailblazers Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",40
"Trailblazers Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",24.7
"Trailblazers Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",162
"Trailblazers Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",106
"Trailblazers Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",89.1
"Trailblazers Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",0
"Trailblazers Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0
"Trailblazers Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",39
"Trailblazers Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",32.8
"Trailblazers Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",119
"Trailblazers Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999
