"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Winchester School District",900586440,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",34,5,"Western"
"Winchester School District",900586440,"2011-2012","Indicator of Educational Need","English Language Learner","Number",14,5,"Western"
"Winchester School District",900586440,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2,5,"Western"
"Winchester School District",900586440,"2011-2012","Indicator of Educational Need","Special Education","Number",168,5,"Western"
"Winchester School District",900586440,"2011-2012","Indicator of Educational Need","Special Education","Percent",23.7,5,"Western"
"Winchester School District",900586440,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",709,5,"Western"
"Winchester School District",900586440,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",419,5,"Western"
"Winchester School District",900586440,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",60,5,"Western"
"Winchester School District",900586440,"2012-2013","Indicator of Educational Need","English Language Learner","Number",18,5,"Western"
"Winchester School District",900586440,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",2.6,5,"Western"
"Winchester School District",900586440,"2012-2013","Indicator of Educational Need","Special Education","Number",156,5,"Western"
"Winchester School District",900586440,"2012-2013","Indicator of Educational Need","Special Education","Percent",22.3,5,"Western"
"Winchester School District",900586440,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",698,5,"Western"
"Winchester School District",900586440,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",371,5,"Western"
"Winchester School District",900586440,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",56.9,5,"Western"
"Winchester School District",900586440,"2013-2014","Indicator of Educational Need","English Language Learner","Number",21,5,"Western"
"Winchester School District",900586440,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.2,5,"Western"
"Winchester School District",900586440,"2013-2014","Indicator of Educational Need","Special Education","Number",135,5,"Western"
"Winchester School District",900586440,"2013-2014","Indicator of Educational Need","Special Education","Percent",20.7,5,"Western"
"Winchester School District",900586440,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",652,5,"Western"
"Winchester School District",900586440,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",239,5,"Western"
"Winchester School District",900586440,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",39.2,5,"Western"
"Winchester School District",900586440,"2014-2015","Indicator of Educational Need","English Language Learner","Number",24,5,"Western"
"Winchester School District",900586440,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3.9,5,"Western"
"Winchester School District",900586440,"2014-2015","Indicator of Educational Need","Special Education","Number",124,5,"Western"
"Winchester School District",900586440,"2014-2015","Indicator of Educational Need","Special Education","Percent",20.4,5,"Western"
"Winchester School District",900586440,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",609,5,"Western"
"Winchester School District",900586440,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",313,5,"Western"
"Winchester School District",900586440,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",53.1,5,"Western"
"Winchester School District",900586440,"2015-2016","Indicator of Educational Need","English Language Learner","Number",34,5,"Western"
"Winchester School District",900586440,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",5.8,5,"Western"
"Winchester School District",900586440,"2015-2016","Indicator of Educational Need","Special Education","Number",132,5,"Western"
"Winchester School District",900586440,"2015-2016","Indicator of Educational Need","Special Education","Percent",22.4,5,"Western"
"Winchester School District",900586440,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",589,5,"Western"
"Winchester School District",900586440,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",314,5,"Western"
"Winchester School District",900586440,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",55.6,5,"Western"
"Winchester School District",900586440,"2016-2017","Indicator of Educational Need","English Language Learner","Number",44,5,"Western"
"Winchester School District",900586440,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",7.8,5,"Western"
"Winchester School District",900586440,"2016-2017","Indicator of Educational Need","Special Education","Number",128,5,"Western"
"Winchester School District",900586440,"2016-2017","Indicator of Educational Need","Special Education","Percent",22.7,5,"Western"
"Winchester School District",900586440,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",565,5,"Western"
"Winchester School District",900586440,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",308,5,"Western"
"Winchester School District",900586440,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",55.6,5,"Western"
"Winchester School District",900586440,"2017-2018","Indicator of Educational Need","English Language Learner","Number",38,5,"Western"
"Winchester School District",900586440,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",6.9,5,"Western"
"Winchester School District",900586440,"2017-2018","Indicator of Educational Need","Special Education","Number",127,5,"Western"
"Winchester School District",900586440,"2017-2018","Indicator of Educational Need","Special Education","Percent",22.9,5,"Western"
"Winchester School District",900586440,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",554,5,"Western"
"Windham School District",901586790,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2568,3,"Eastern"
"Windham School District",901586790,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",78.5,3,"Eastern"
"Windham School District",901586790,"2011-2012","Indicator of Educational Need","English Language Learner","Number",801,3,"Eastern"
"Windham School District",901586790,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",24.5,3,"Eastern"
"Windham School District",901586790,"2011-2012","Indicator of Educational Need","Special Education","Number",541,3,"Eastern"
"Windham School District",901586790,"2011-2012","Indicator of Educational Need","Special Education","Percent",16.5,3,"Eastern"
"Windham School District",901586790,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",3271,3,"Eastern"
"Windham School District",901586790,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2433,3,"Eastern"
"Windham School District",901586790,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",75.5,3,"Eastern"
"Windham School District",901586790,"2012-2013","Indicator of Educational Need","English Language Learner","Number",775,3,"Eastern"
"Windham School District",901586790,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",24,3,"Eastern"
"Windham School District",901586790,"2012-2013","Indicator of Educational Need","Special Education","Number",511,3,"Eastern"
"Windham School District",901586790,"2012-2013","Indicator of Educational Need","Special Education","Percent",15.9,3,"Eastern"
"Windham School District",901586790,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",3223,3,"Eastern"
"Windham School District",901586790,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2486,3,"Eastern"
"Windham School District",901586790,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",76,3,"Eastern"
"Windham School District",901586790,"2013-2014","Indicator of Educational Need","English Language Learner","Number",779,3,"Eastern"
"Windham School District",901586790,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",23.8,3,"Eastern"
"Windham School District",901586790,"2013-2014","Indicator of Educational Need","Special Education","Number",509,3,"Eastern"
"Windham School District",901586790,"2013-2014","Indicator of Educational Need","Special Education","Percent",15.6,3,"Eastern"
"Windham School District",901586790,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",3273,3,"Eastern"
"Windham School District",901586790,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2499,3,"Eastern"
"Windham School District",901586790,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",78.3,3,"Eastern"
"Windham School District",901586790,"2014-2015","Indicator of Educational Need","English Language Learner","Number",781,3,"Eastern"
"Windham School District",901586790,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",24.5,3,"Eastern"
"Windham School District",901586790,"2014-2015","Indicator of Educational Need","Special Education","Number",486,3,"Eastern"
"Windham School District",901586790,"2014-2015","Indicator of Educational Need","Special Education","Percent",15.2,3,"Eastern"
"Windham School District",901586790,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",3190,3,"Eastern"
"Windham School District",901586790,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2665,3,"Eastern"
"Windham School District",901586790,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",80.9,3,"Eastern"
"Windham School District",901586790,"2015-2016","Indicator of Educational Need","English Language Learner","Number",801,3,"Eastern"
"Windham School District",901586790,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",24.3,3,"Eastern"
"Windham School District",901586790,"2015-2016","Indicator of Educational Need","Special Education","Number",525,3,"Eastern"
"Windham School District",901586790,"2015-2016","Indicator of Educational Need","Special Education","Percent",15.9,3,"Eastern"
"Windham School District",901586790,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",3296,3,"Eastern"
"Windham School District",901586790,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2753,3,"Eastern"
"Windham School District",901586790,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",82.5,3,"Eastern"
"Windham School District",901586790,"2016-2017","Indicator of Educational Need","English Language Learner","Number",849,3,"Eastern"
"Windham School District",901586790,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",25.4,3,"Eastern"
"Windham School District",901586790,"2016-2017","Indicator of Educational Need","Special Education","Number",603,3,"Eastern"
"Windham School District",901586790,"2016-2017","Indicator of Educational Need","Special Education","Percent",18.1,3,"Eastern"
"Windham School District",901586790,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",3337,3,"Eastern"
"Windham School District",901586790,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2784,3,"Eastern"
"Windham School District",901586790,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83.1,3,"Eastern"
"Windham School District",901586790,"2017-2018","Indicator of Educational Need","English Language Learner","Number",875,3,"Eastern"
"Windham School District",901586790,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",26.1,3,"Eastern"
"Windham School District",901586790,"2017-2018","Indicator of Educational Need","Special Education","Number",642,3,"Eastern"
"Windham School District",901586790,"2017-2018","Indicator of Educational Need","Special Education","Percent",19.2,3,"Eastern"
"Windham School District",901586790,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",3349,3,"Eastern"
"Windsor Locks School District",900387070,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",580,4,"North Central"
"Windsor Locks School District",900387070,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",32.9,4,"North Central"
"Windsor Locks School District",900387070,"2011-2012","Indicator of Educational Need","English Language Learner","Number",55,4,"North Central"
"Windsor Locks School District",900387070,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",3.1,4,"North Central"
"Windsor Locks School District",900387070,"2011-2012","Indicator of Educational Need","Special Education","Number",213,4,"North Central"
"Windsor Locks School District",900387070,"2011-2012","Indicator of Educational Need","Special Education","Percent",12.1,4,"North Central"
"Windsor Locks School District",900387070,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",1763,4,"North Central"
"Windsor Locks School District",900387070,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",631,4,"North Central"
"Windsor Locks School District",900387070,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",35.8,4,"North Central"
"Windsor Locks School District",900387070,"2012-2013","Indicator of Educational Need","English Language Learner","Number",54,4,"North Central"
"Windsor Locks School District",900387070,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",3.1,4,"North Central"
"Windsor Locks School District",900387070,"2012-2013","Indicator of Educational Need","Special Education","Number",207,4,"North Central"
"Windsor Locks School District",900387070,"2012-2013","Indicator of Educational Need","Special Education","Percent",11.8,4,"North Central"
"Windsor Locks School District",900387070,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1761,4,"North Central"
"Windsor Locks School District",900387070,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",605,4,"North Central"
"Windsor Locks School District",900387070,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",35.9,4,"North Central"
"Windsor Locks School District",900387070,"2013-2014","Indicator of Educational Need","English Language Learner","Number",66,4,"North Central"
"Windsor Locks School District",900387070,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.9,4,"North Central"
"Windsor Locks School District",900387070,"2013-2014","Indicator of Educational Need","Special Education","Number",214,4,"North Central"
"Windsor Locks School District",900387070,"2013-2014","Indicator of Educational Need","Special Education","Percent",12.7,4,"North Central"
"Windsor Locks School District",900387070,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",1687,4,"North Central"
"Windsor Locks School District",900387070,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",645,4,"North Central"
"Windsor Locks School District",900387070,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",38.8,4,"North Central"
"Windsor Locks School District",900387070,"2014-2015","Indicator of Educational Need","English Language Learner","Number",74,4,"North Central"
"Windsor Locks School District",900387070,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",4.4,4,"North Central"
"Windsor Locks School District",900387070,"2014-2015","Indicator of Educational Need","Special Education","Number",215,4,"North Central"
"Windsor Locks School District",900387070,"2014-2015","Indicator of Educational Need","Special Education","Percent",12.9,4,"North Central"
"Windsor Locks School District",900387070,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",1664,4,"North Central"
"Windsor Locks School District",900387070,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",599,4,"North Central"
"Windsor Locks School District",900387070,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",36.6,4,"North Central"
"Windsor Locks School District",900387070,"2015-2016","Indicator of Educational Need","English Language Learner","Number",82,4,"North Central"
"Windsor Locks School District",900387070,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",5,4,"North Central"
"Windsor Locks School District",900387070,"2015-2016","Indicator of Educational Need","Special Education","Number",238,4,"North Central"
"Windsor Locks School District",900387070,"2015-2016","Indicator of Educational Need","Special Education","Percent",14.5,4,"North Central"
"Windsor Locks School District",900387070,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1638,4,"North Central"
"Windsor Locks School District",900387070,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",705,4,"North Central"
"Windsor Locks School District",900387070,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",44.8,4,"North Central"
"Windsor Locks School District",900387070,"2016-2017","Indicator of Educational Need","English Language Learner","Number",74,4,"North Central"
"Windsor Locks School District",900387070,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",4.7,4,"North Central"
"Windsor Locks School District",900387070,"2016-2017","Indicator of Educational Need","Special Education","Number",226,4,"North Central"
"Windsor Locks School District",900387070,"2016-2017","Indicator of Educational Need","Special Education","Percent",14.4,4,"North Central"
"Windsor Locks School District",900387070,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1572,4,"North Central"
"Windsor Locks School District",900387070,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",655,4,"North Central"
"Windsor Locks School District",900387070,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",42.2,4,"North Central"
"Windsor Locks School District",900387070,"2017-2018","Indicator of Educational Need","English Language Learner","Number",69,4,"North Central"
"Windsor Locks School District",900387070,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",4.4,4,"North Central"
"Windsor Locks School District",900387070,"2017-2018","Indicator of Educational Need","Special Education","Number",235,4,"North Central"
"Windsor Locks School District",900387070,"2017-2018","Indicator of Educational Need","Special Education","Percent",15.1,4,"North Central"
"Windsor Locks School District",900387070,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1553,4,"North Central"
"Windsor School District",900387000,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1084,4,"North Central"
"Windsor School District",900387000,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",30.8,4,"North Central"
"Windsor School District",900387000,"2011-2012","Indicator of Educational Need","English Language Learner","Number",124,4,"North Central"
"Windsor School District",900387000,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",3.5,4,"North Central"
"Windsor School District",900387000,"2011-2012","Indicator of Educational Need","Special Education","Number",529,4,"North Central"
"Windsor School District",900387000,"2011-2012","Indicator of Educational Need","Special Education","Percent",15,4,"North Central"
"Windsor School District",900387000,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",3520,4,"North Central"
"Windsor School District",900387000,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1161,4,"North Central"
"Windsor School District",900387000,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",34,4,"North Central"
"Windsor School District",900387000,"2012-2013","Indicator of Educational Need","English Language Learner","Number",120,4,"North Central"
"Windsor School District",900387000,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",3.5,4,"North Central"
"Windsor School District",900387000,"2012-2013","Indicator of Educational Need","Special Education","Number",552,4,"North Central"
"Windsor School District",900387000,"2012-2013","Indicator of Educational Need","Special Education","Percent",16.2,4,"North Central"
"Windsor School District",900387000,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",3415,4,"North Central"
"Windsor School District",900387000,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1134,4,"North Central"
"Windsor School District",900387000,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",34.5,4,"North Central"
"Windsor School District",900387000,"2013-2014","Indicator of Educational Need","English Language Learner","Number",120,4,"North Central"
"Windsor School District",900387000,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.7,4,"North Central"
"Windsor School District",900387000,"2013-2014","Indicator of Educational Need","Special Education","Number",522,4,"North Central"
"Windsor School District",900387000,"2013-2014","Indicator of Educational Need","Special Education","Percent",15.9,4,"North Central"
"Windsor School District",900387000,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",3283,4,"North Central"
"Windsor School District",900387000,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1147,4,"North Central"
"Windsor School District",900387000,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",36.2,4,"North Central"
"Windsor School District",900387000,"2014-2015","Indicator of Educational Need","English Language Learner","Number",125,4,"North Central"
"Windsor School District",900387000,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3.9,4,"North Central"
"Windsor School District",900387000,"2014-2015","Indicator of Educational Need","Special Education","Number",525,4,"North Central"
"Windsor School District",900387000,"2014-2015","Indicator of Educational Need","Special Education","Percent",16.6,4,"North Central"
"Windsor School District",900387000,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",3168,4,"North Central"
"Windsor School District",900387000,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1178,4,"North Central"
"Windsor School District",900387000,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",36.7,4,"North Central"
"Windsor School District",900387000,"2015-2016","Indicator of Educational Need","English Language Learner","Number",120,4,"North Central"
"Windsor School District",900387000,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",3.7,4,"North Central"
"Windsor School District",900387000,"2015-2016","Indicator of Educational Need","Special Education","Number",547,4,"North Central"
"Windsor School District",900387000,"2015-2016","Indicator of Educational Need","Special Education","Percent",17,4,"North Central"
"Windsor School District",900387000,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",3214,4,"North Central"
"Windsor School District",900387000,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1010,4,"North Central"
"Windsor School District",900387000,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",31.4,4,"North Central"
"Windsor School District",900387000,"2016-2017","Indicator of Educational Need","English Language Learner","Number",133,4,"North Central"
"Windsor School District",900387000,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",4.1,4,"North Central"
"Windsor School District",900387000,"2016-2017","Indicator of Educational Need","Special Education","Number",569,4,"North Central"
"Windsor School District",900387000,"2016-2017","Indicator of Educational Need","Special Education","Percent",17.7,4,"North Central"
"Windsor School District",900387000,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",3212,4,"North Central"
"Windsor School District",900387000,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1210,4,"North Central"
"Windsor School District",900387000,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",37,4,"North Central"
"Windsor School District",900387000,"2017-2018","Indicator of Educational Need","English Language Learner","Number",112,4,"North Central"
"Windsor School District",900387000,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.4,4,"North Central"
"Windsor School District",900387000,"2017-2018","Indicator of Educational Need","Special Education","Number",590,4,"North Central"
"Windsor School District",900387000,"2017-2018","Indicator of Educational Need","Special Education","Percent",18,4,"North Central"
"Windsor School District",900387000,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",3274,4,"North Central"
"Wolcott School District",900987560,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",550,5,"Western"
"Wolcott School District",900987560,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.6,5,"Western"
"Wolcott School District",900987560,"2011-2012","Indicator of Educational Need","English Language Learner","Number",37,5,"Western"
"Wolcott School District",900987560,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",1.4,5,"Western"
"Wolcott School District",900987560,"2011-2012","Indicator of Educational Need","Special Education","Number",255,5,"Western"
"Wolcott School District",900987560,"2011-2012","Indicator of Educational Need","Special Education","Percent",9.6,5,"Western"
"Wolcott School District",900987560,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",2664,5,"Western"
"Wolcott School District",900987560,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",562,5,"Western"
"Wolcott School District",900987560,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.8,5,"Western"
"Wolcott School District",900987560,"2012-2013","Indicator of Educational Need","English Language Learner","Number",35,5,"Western"
"Wolcott School District",900987560,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",1.4,5,"Western"
"Wolcott School District",900987560,"2012-2013","Indicator of Educational Need","Special Education","Number",233,5,"Western"
"Wolcott School District",900987560,"2012-2013","Indicator of Educational Need","Special Education","Percent",9,5,"Western"
"Wolcott School District",900987560,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",2580,5,"Western"
"Wolcott School District",900987560,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",503,5,"Western"
"Wolcott School District",900987560,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.2,5,"Western"
"Wolcott School District",900987560,"2013-2014","Indicator of Educational Need","English Language Learner","Number",40,5,"Western"
"Wolcott School District",900987560,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",1.6,5,"Western"
"Wolcott School District",900987560,"2013-2014","Indicator of Educational Need","Special Education","Number",235,5,"Western"
"Wolcott School District",900987560,"2013-2014","Indicator of Educational Need","Special Education","Percent",9.4,5,"Western"
"Wolcott School District",900987560,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",2491,5,"Western"
"Wolcott School District",900987560,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",474,5,"Western"
"Wolcott School District",900987560,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20,5,"Western"
"Wolcott School District",900987560,"2014-2015","Indicator of Educational Need","English Language Learner","Number",51,5,"Western"
"Wolcott School District",900987560,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",2.2,5,"Western"
"Wolcott School District",900987560,"2014-2015","Indicator of Educational Need","Special Education","Number",231,5,"Western"
"Wolcott School District",900987560,"2014-2015","Indicator of Educational Need","Special Education","Percent",9.8,5,"Western"
"Wolcott School District",900987560,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",2365,5,"Western"
"Wolcott School District",900987560,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",510,5,"Western"
"Wolcott School District",900987560,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.7,5,"Western"
"Wolcott School District",900987560,"2015-2016","Indicator of Educational Need","English Language Learner","Number",54,5,"Western"
"Wolcott School District",900987560,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2.3,5,"Western"
"Wolcott School District",900987560,"2015-2016","Indicator of Educational Need","Special Education","Number",260,5,"Western"
"Wolcott School District",900987560,"2015-2016","Indicator of Educational Need","Special Education","Percent",11.1,5,"Western"
"Wolcott School District",900987560,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",2346,5,"Western"
"Wolcott School District",900987560,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",494,5,"Western"
"Wolcott School District",900987560,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.6,5,"Western"
"Wolcott School District",900987560,"2016-2017","Indicator of Educational Need","English Language Learner","Number",55,5,"Western"
"Wolcott School District",900987560,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",2.4,5,"Western"
"Wolcott School District",900987560,"2016-2017","Indicator of Educational Need","Special Education","Number",268,5,"Western"
"Wolcott School District",900987560,"2016-2017","Indicator of Educational Need","Special Education","Percent",11.7,5,"Western"
"Wolcott School District",900987560,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",2285,5,"Western"
"Wolcott School District",900987560,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",526,5,"Western"
"Wolcott School District",900987560,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",23.2,5,"Western"
"Wolcott School District",900987560,"2017-2018","Indicator of Educational Need","English Language Learner","Number",52,5,"Western"
"Wolcott School District",900987560,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",2.3,5,"Western"
"Wolcott School District",900987560,"2017-2018","Indicator of Educational Need","Special Education","Number",270,5,"Western"
"Wolcott School District",900987560,"2017-2018","Indicator of Educational Need","Special Education","Percent",11.9,5,"Western"
"Wolcott School District",900987560,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",2263,5,"Western"
"Woodbridge School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",26,2,"South Central"
"Woodbridge School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",3.5,2,"South Central"
"Woodbridge School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",17,2,"South Central"
"Woodbridge School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2.3,2,"South Central"
"Woodbridge School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",68,2,"South Central"
"Woodbridge School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",9.2,2,"South Central"
"Woodbridge School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",738,2,"South Central"
"Woodbridge School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",41,2,"South Central"
"Woodbridge School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",5.5,2,"South Central"
